"filename", "language", "JSON", "Markdown", "TypeScript", "JavaScript", "TypeScript React", "JavaScript React", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Transactions\TransactionItem\TransactionItem.tsx", "TypeScript React", 0, 0, 0, 0, 152, 0, 0, 0, 0, 15, 167
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Transactions\Transactions.tsx", "TypeScript React", 0, 0, 0, 0, 27, 0, 0, 0, 0, 8, 35
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Transactions\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\RegisterPage\LoginPage.tsx", "TypeScript React", 0, 0, 0, 0, 99, 0, 0, 0, 0, 7, 106
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\RegisterPage\RegisterPage.tsx", "TypeScript React", 0, 0, 0, 0, 183, 0, 0, 0, 0, 16, 199
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\RegisterPage\RegistrationStyles.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\RegisterPage\index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Settings\Settings.tsx", "TypeScript React", 0, 0, 0, 0, 10, 0, 0, 0, 0, 6, 16
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Settings\Styles.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Settings\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Trade\Styles.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Trade\Trade.tsx", "TypeScript React", 0, 0, 0, 0, 10, 0, 0, 0, 0, 6, 16
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Trade\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_actions\alert.actions.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_actions\applicationView.actions.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_actions\exchange.actions.ts", "TypeScript", 0, 0, 127, 0, 0, 0, 0, 0, 0, 16, 143
